County,Constituency,Lat,Long,27/5/2020,28/5/2020,29/5/2020,30/4/2020,05/01/2020,05/02/2020,05/03/2020,05/04/2020,05/05/2020,05/06/2020,05/07/2020,05/08/2020,05/09/2020,05/10/2020, 11/5/2020,05/12/2020
Mombasa,Mombasa,-3.9768,39.7137,,,,,,5,,,11,,,,,,,
Mombasa,Changamwe,-4.017531,39.620304,,,,,,,,,,2,,,,,2,
Mombasa,Kisauni,-6.218527,39.221406,,,,,,,3,,,2,,,,2,2,
Mombasa,Nyali,-4.054284,39.690435,,,,,,,,,,,,,4,,2,
Mombasa,Likoni,-4.083561,39.661968,,,,,,,1,,,3,1,3,2,2,,
Mombasa,Mvita,-0.416045,34.202579,4,,,,,,15,,,25,,,4,8,3,
Mombasa,Mikindani,-4.006707,39.628559,,,,,,2,,,,,,,,,,
Mombasa,Mwembe Tayari,-4.057616,39.670554,,,,,,2,,,,,,,,,,
Mombasa,Shimanzi,-1.4230478,36.706689,,,,,,1,,,,,,,,,,
Mombasa,Old Town,-4.061712,39.67934,,,1,4,,,,,,,,,,,,
Mombasa,Bondeni,0.054426,35.722905,,,,1,,,,,,,,,,,,
Mombasa,Bomani,-4.4622,39.475048,,,,1,,,,,,,,,,,,
Mombasa,Kindunguni,-1,36,,,,1,,,,,,,,,,,,
Mombasa,Santana,-1.4296956,36.7064951,,,1,,,,,,,,,,,,,
Mombasa,Miritini,-4,39.566667,,,1,,,,,,,,,,,,,
Mombasa,Bamburi,-4.002426,39.702124,,,1,,,,,,,,,,,,,
Mombasa,Mikindani,-4.006707,39.628559,,,1,,,,,,,,,,,,,
Mombasa,Kibokoni,-2.51747,40.356755,,,1,,,,,,,,,,,,,
Mombasa,Ganjoni,-1,37,,,1,,,,,,,,,,,,,
Mombasa,Memon,0,36,,,1,,,,,,,,,,,,,
Mombasa,Tudor,-4.038054,39.656387,,,1,,,,,,,,,,,,,
Wajir,,,,,,,,,,,,1,,,,,,,
Wajir,Eldas,2.52703,39.610247,,,,,,,,,,,,,,,1,
Wajir,Tarbaj,2.231584,40.12071,,,,,,,,,,,,,,,1,
Mandera,,,,,,,,,,,,,,,,,1,,
Mandera,Mandera East,-6.2,38.416667,,,,,,,,,,,,,,3,,
Mandera,Elwak,2.818453,40.92683,,,,,,,,,,,,,,1,,
Mandera,Mandera North,-6.2,38.416667,,,,,,,,,,,,,,1,,
Kajiado,,,,,,,,,,,,,,,,2,,,
Kajiado,Saina Estate,,,,,,,,,,,,,,,,1,,
Migrori,,,,,,,,,,,,,,,,4,,,
Migrori,Kuria West ,-1.006321,34.366708,,,,,,2,,,,,,,,,,
Homabay,,,,,,,,,,,,,,,,1,,,
Kiambu,,,,,,,,,,,,,,,,1,,,
Machakos,,,,,,,,,,,,,,,,1,,,
Machakos,Arthi River,-1.389684,36.937749,,,,,,,,,,,,1,,,,
Nakuru,,,,,,,,,,,,,,,,,,,
Nakuru,Solai,-0.283333,36.066667,,,,,,,,,,,1,,,,,
Foreign ,,,,,,,,,,,,1,,,,,,,
Kitui,,,,,,,,,,,,,,,,,,,
Kitui,Mwingi Town,-0.95,38.083333,,,,,,,1,,,,,,,,,
Bugoma,,0.577899,34.559859,,,,,,,2,,,,,,,,,
Kwale ,,,,,,,,,,,,,,,,,,,
Kwale ,Tanga,-5.070046,39.104917,1,,,,,,,,,,,,,,,
Nairobi,,-1.2921,36.8219,,,,,,,,,29,,,,,,,
Nairobi,KNH,0.500765,37.609136,,,,,,,,,,,,,,,3,
Nairobi,Embakasi,-1.352666,36.88885,,,,,,,,,,,,,3,,2,
Nairobi,Kibra,-1.241941,37.449146,2,,,,,,1,,,1,,,,,1,
Nairobi,Pumwani,-1.598039,40.055403,,,,,,,,,,,,,,,1,
Nairobi,Umoja,-1.280949,36.890828,,,,,,,,,,1,1,1,,2,,
Nairobi,Kamrock,-1.217834,37.18716,,,,,,,,,,,,,,1,,
Nairobi,Pipeline,-1.140831,36.523527,,,,,,,,,,,,,,1,,
Nairobi,Eastleigh ,-1.286693,36.851688,,,,1,,10,5,,,5,9,,2,,,
Nairobi,Kayole,-1.275136,36.909979,,,,,,,,,,,,,1,,,
Nairobi,Huruma,-1.258459,36.876967,,,,,,,,,,,,,1,,,
Nairobi,Kawangare,-0.4666,37.45,,,1,,,7,2,,,,2,,1,,,
Nairobi,Kasarani,-0.710002,36.294321,,,,,,,,,,2,,4,,,,
Nairobi,Makadera,3.93688,41.851707,,,,,,,,,,,,2,,,,
Nairobi,South C,-1.313937,36.825301,,,,,,,,,,,1,1,,,,
Nairobi,Irigu,-1,36,,,,,,,,,,,,1,,,,
Nairobi,Dogareti South,-1.313937,36.825301,,,,,,,,,,,,1,,,,
Nairobi,ParkLands,-1.263062,36.810633,,,,,,,,,,,3,,,,,
Nairobi,Riruta,-1.17,36.44,,,,,,,,,,,1,,,,,
Nairobi,Juja Road,-1.190178,37.114894,,,,,,,,,,,1,,,,,
Nairobi,Karen,-1.328375,36.704968,,,,,,,,,,1,,,,,,
Nairobi,Dandora,-1.5,36.75,,,,,,,,,,1,,,,,,
Nairobi,Fedha,-1.313627,36.895549,,,,1,,,,,,,,,,,,
Nairobi,Kileleshwa,-1.272327,36.799688,,,,1,,,,,,,,,,,,
